EventID,Description,Threat,Score,Impact,BaseConfidence,Category,Indicators,Finding,ImmediateAction,FollowUp
4625,Failed Login Attempt,Brute Force Attack,7,3,2,Credential Access,,"Multiple failed logon attempts were detected, consistent with a brute-force or password-spray attack.",Reset credentials for all accounts flagged in the logs.; Enforce MFA on affected accounts if not already active.,Review and enforce account lockout policy (recommended: lockout after 5 failed attempts).; Audit local and domain admin group membership and remove unnecessary privileges (principle of least privilege).
4740,User Account Locked Out,Account Lockout from Failed Attempts,8,3,3,Credential Access,,"One or more accounts were locked out, consistent with repeated failed authentication.",Enforce MFA on affected accounts if not already active.,Review and enforce account lockout policy (recommended: lockout after 5 failed attempts).
4771,Kerberos Pre-Authentication Failed,Kerberos Attack Attempt,7,3,2,Credential Access,,"Kerberos pre-authentication failures were detected, consistent with a Kerberos-based credential attack.",Review and enforce account lockout policy (recommended: lockout after 5 failed attempts).,Review and enforce account lockout policy (recommended: lockout after 5 failed attempts).; Audit local and domain admin group membership and remove unnecessary privileges (principle of least privilege).
4776,Credential Validation Failed,Authentication Failure,6,2,2,Credential Access,,"Credential validation failures were logged, indicating failed NTLM authentication attempts.",Reset credentials for all accounts flagged in the logs.,Review and enforce account lockout policy (recommended: lockout after 5 failed attempts).
4648,Logon with Explicit Credentials,Pass-the-Hash or Credential Theft,6,2,1,Credential Access,sekurlsa;wce;mimikatz,"Logon using explicit credentials was detected, consistent with pass-the-hash or credential relay attacks.",Treat all credentials on this host as compromised.; Reset passwords for all accounts that authenticated to or from this host.,Review and enforce account lockout policy (recommended: lockout after 5 failed attempts).; Audit local and domain admin group membership and remove unnecessary privileges (principle of least privilege).
4720,User Account Created,Unauthorized Account Creation,7,3,2,Persistence,,"A new user account was created, which may represent a persistence backdoor.",Identify and disable any unauthorized or re-enabled user accounts immediately.,Audit local and domain admin group membership and remove unnecessary privileges (principle of least privilege).
4722,User Account Enabled,Dormant Account Activated,6,1,1,Persistence,,"A dormant user account was re-enabled, which may indicate use of a pre-staged backdoor account.",Identify and disable any unauthorized or re-enabled user accounts immediately.,Implement alerting on dormant account re-enablement and unexpected account attribute changes.
4726,User Account Deleted,Account Deletion for Cover Up,5,2,2,Defense Evasion,,"A user account was created then deleted, consistent with a temporary access account used to cover tracks.",Identify and disable any unauthorized or re-enabled user accounts immediately.,Audit local and domain admin group membership and remove unnecessary privileges (principle of least privilege).
4732,User Added to Privileged Group,Privilege Escalation,9,3,3,Privilege Escalation,,"An account was added to a local privileged group, indicating local privilege escalation.",Audit and revert all group membership changes made during the incident window.,Implement alerting on privileged group membership changes.
4728,User Added to Global Group,Domain-Level Privilege Escalation,8,3,3,Privilege Escalation,,"An account was added to a global privileged group, indicating domain-level privilege escalation.",Audit and revert all group membership changes made during the incident window.,Implement alerting on privileged group membership changes.
4756,User Added to Universal Group,Cross-Domain Access Granted,7,3,2,Privilege Escalation,,"An account was added to a universal group, granting cross-domain access.",Audit and revert all group membership changes made during the incident window.,Implement alerting on privileged group membership changes.
4670,Permissions Changed on Object,Access Control Modification,6,1,1,Defense Evasion,HKLM\SAM;HKLM\SECURITY;lsass;Domain Admins,"Permissions were changed on an object, consistent with access control modification to expand attacker reach.",Review and revert any permission or privilege changes made during the incident window.,Implement alerting on dormant account re-enablement and unexpected account attribute changes.
4673,Privileged Service Called,Abuse of Privileges,7,2,1,Privilege Escalation,SeDebugPrivilege;SeTcbPrivilege;SeLoadDriverPrivilege,"A privileged service was called in an anomalous context, consistent with privilege abuse.",Review and revert any permission or privilege changes made during the incident window.,Audit local and domain admin group membership and remove unnecessary privileges (principle of least privilege).
4738,User Account Changed,Account Attribute Modification,6,1,1,Persistence,PasswordNotRequired;DontRequirePreauth,"A user account's attributes were modified, which may indicate credential changes to facilitate access.",Identify and disable any unauthorized or re-enabled user accounts immediately.,Implement alerting on dormant account re-enablement and unexpected account attribute changes.
4662,AD Directory Service Object Access with Replication Rights,DCSync Attack - Domain Credential Dump,9,4,2,Credential Access,1131f6ad-9c07-11d1-f79f-00c04fc2dcd2;19195a5b-6da0-11d0-afd3-00c04fd930c9;Replicating Directory Changes,"Active Directory object access events were detected containing replication extended rights GUIDs. This pattern is consistent with a DCSync attack, where an attacker abuses the DRSUAPI replication protocol to extract NTLM password hashes and Kerberos keys for domain accounts without requiring physical access to a Domain Controller.",Isolate any non-DC host or account that triggered this event.; Reset the krbtgt account password twice in succession to invalidate any Golden Tickets.; Force immediate password reset for all Domain Admin and Enterprise Admin accounts.,Audit all accounts holding the Replicating Directory Changes All extended right using Get-ADUser with ACL inspection.; Review Domain Controller Security logs for additional 4662 events with Properties GUIDs 1131f6ad-9c07-11d1-f79f-00c04fc2dcd2 or 19195a5b-6da0-11d0-afd3-00c04fd930c9.; Investigate for Golden Ticket usage. Look for anomalous Kerberos TGT lifetimes or logins from unexpected hosts.; Escalate to senior security staff. DCSync from a non-DC account indicates full domain compromise.
5145,Network Share Object Access,AD Enumeration / Lateral Movement Reconnaissance,7,3,2,Discovery,samr;lsarpc;IPC$;SYSVOL;NETLOGON,"Repeated access to administrative network shares and named pipes was detected, consistent with Active Directory enumeration tools such as BloodHound, PowerView, or net.exe. Access to samr and lsarpc pipes over IPC$ is a strong indicator of domain reconnaissance.",Identify the source host and account performing the enumeration and isolate if unauthorized.; Review all accounts authenticated from the source IP for signs of compromise.,Restrict anonymous and authenticated enumeration of AD objects via Group Policy (Network access: Restrict clients allowed to make remote calls to SAM).; Review and tighten SMB share permissions — SYSVOL and NETLOGON should be read-only for standard users.; Deploy honeypot shares to detect future enumeration attempts.
